Phrase,Intent,Subintent

"i need a temporary email",Email,start_session
"can you create a disposable inbox for me",Email,start_session
"generate a new email address",Email,start_session
"i want to start a new email session",Email,start_session
"let us make a temp mail",Email,start_session
"give me a temporary email",Email,start_session
"i need a throwaway email",Email,start_session
"can i get a new email",Email,start_session
"create a new session",Email,start_session
"make me an email",Email,start_session
"i want to restore my session",Email,restore_session
"can i load my old email session",Email,restore_session
"i have a session id",Email,restore_session
"let us restore my session",Email,restore_session
"restore my previous inbox",Email,restore_session
"i want to use my session id",Email,restore_session
"load my email session",Email,restore_session
"i need to restore my session",Email,restore_session
"use this session id",Email,restore_session
"restore session",Email,restore_session
"show me my inbox",Email,list_emails
"what emails do i have",Email,list_emails
"list all my emails",Email,list_emails
"can i see my inbox",Email,list_emails
"are there any emails for me",Email,list_emails
"check my email",Email,list_emails
"show me my messages",Email,list_emails
"what is in my inbox",Email,list_emails
"view my inbox",Email,list_emails
"list my emails",Email,list_emails
"get my inbox",Email,list_emails
"check for new mail",Email,update_inbox
"refresh my inbox",Email,update_inbox
"are there any new emails",Email,update_inbox
"get new messages",Email,update_inbox
"update my email list",Email,update_inbox
"fetch new mail",Email,update_inbox
"poll for new emails",Email,update_inbox
"check for updates",Email,update_inbox
"any new mail",Email,update_inbox
"read email 1",Email,view_email
"show me the message with id 12345",Email,view_email
"i want to view email 2",Email,view_email
"open the first email",Email,view_email
"let me see email 3",Email,view_email
"view message 4",Email,view_email
"what does email 5 say",Email,view_email
"display the content of email 1",Email,view_email
"view email",Email,view_email
"open this email",Email,view_email
"save email 123",Email,download_email
"download that message",Email,download_email
"i want to download email 2",Email,download_email
"can you save this email for me",Email,download_email
"save the email to a file",Email,download_email
"download email 3",Email,download_email
"i need to save this email",Email,download_email
"download",Email,download_email
"save this message",Email,download_email
"delete email 45",Email,delete_email
"delete emails 6 and 7",Email,delete_email
"get rid of that message",Email,delete_email
"i want to delete email 3",Email,delete_email
"remove email 1 from my inbox",Email,delete_email
"delete the message with id 5",Email,delete_email
"please delete this email",Email,delete_email
"send email 2 to trash",Email,delete_email
"delete",Email,delete_email
"remove this email",Email,delete_email
"i am done with my email",Email,end_session
"delete this session",Email,end_session
"forget me and my email",Email,end_session
"end my email session",Email,end_session
"i do not need this email anymore",Email,end_session
"close my session",Email,end_session
"log out of my email",Email,end_session
"i want to end this session",Email,end_session
"end session",Email,end_session
"forget this email session",Email,end_session
"i want to manage my emails",Email,manage_session
"let me manage my email session",Email,manage_session
"email options",Email,manage_session
"what can i do with my email",Email,manage_session
"email management",Email,manage_session
"i am done with email for now",Email,exit_loop
"exit email task",Email,exit_loop
"stop managing emails",Email,exit_loop
"go back to normal chat",Email,exit_loop
"exit loop",Email,exit_loop

"can you help",Discoverability,HelpGeneral
"can you help me",Discoverability,HelpGeneral
"could you help me out",Discoverability,HelpGeneral
"help",Discoverability,HelpGeneral
"how do i do this",Discoverability,HelpGeneral
"i am confused",Discoverability,HelpGeneral
"i am lost",Discoverability,HelpGeneral
"i dont understand",Discoverability,HelpGeneral
"i need assistance",Discoverability,HelpGeneral
"i need guidance",Discoverability,HelpGeneral
"i need help",Discoverability,HelpGeneral
"i need some help",Discoverability,HelpGeneral
"i need support",Discoverability,HelpGeneral
"i would like help",Discoverability,HelpGeneral
"im having trouble",Discoverability,HelpGeneral
"please help me",Discoverability,HelpGeneral
"show me what to do",Discoverability,HelpGeneral
"walk me through this",Discoverability,HelpGeneral
"command help",Discoverability,HelpCommands
"commands",Discoverability,HelpCommands
"how do i use commands",Discoverability,HelpCommands
"i need help with commands",Discoverability,HelpCommands
"list commands",Discoverability,HelpCommands
"show commands",Discoverability,HelpCommands
"tell me about commands",Discoverability,HelpCommands
"tell me your commands",Discoverability,HelpCommands
"what are the available commands",Discoverability,HelpCommands
"what are the commands",Discoverability,HelpCommands
"what commands can i use",Discoverability,HelpCommands
"describe your abilities",Discoverability,Capabilities
"explain to me your capabilities",Discoverability,Capabilities
"explain your capabilities",Discoverability,Capabilities
"how can you help me",Discoverability,Capabilities
"show me your abilities",Discoverability,Capabilities
"tell me what you can do",Discoverability,Capabilities
"what are you capable of",Discoverability,Capabilities
"what are your capabilities",Discoverability,Capabilities
"what can i do",Discoverability,Capabilities
"what can you do",Discoverability,Capabilities
"what can we do",Discoverability,Capabilities
"what functions do you have",Discoverability,Capabilities
"explain to me about identification",Discoverability,Identification
"help me with identification",Discoverability,Identification
"help me with my name",Discoverability,Identification
"i need help with identification",Discoverability,Identification
