Question,Answer
what is the capital of france?,"The capital of France is Paris."
what is the capital of germany?,"The capital of Germany is Berlin."
what is the capital of italy?,"The capital of Italy is Rome."
what is the capital of spain?,"The capital of Spain is Madrid."
what is the capital of portugal?,"The capital of Portugal is Lisbon."
what is the capital of the united kingdom?,"The capital of the United Kingdom is London."
what is the capital of canada?,"The capital of Canada is Ottawa."
what is the capital of australia?,"The capital of Australia is Canberra."
what is the capital of japan?,"The capital of Japan is Tokyo."
what is the capital of china?,"The capital of China is Beijing."
what is the capital of india?,"The capital of India is New Delhi."
what is the capital of russia?,"The capital of Russia is Moscow."
what is the capital of brazil?,"The capital of Brazil is Brasília."
what is the capital of argentina?,"The capital of Argentina is Buenos Aires."
what is the capital of mexico?,"The capital of Mexico is Mexico City."
what is the capital of egypt?,"The capital of Egypt is Cairo."
what is the capital of south africa?,"South Africa has three capitals: Pretoria, Bloemfontein, and Cape Town."
what is the capital of kenya?,"The capital of Kenya is Nairobi."
what is the capital of nigeria?,"The capital of Nigeria is Abuja."
what is the capital of saudi arabia?,"The capital of Saudi Arabia is Riyadh."
what is the capital of turkey?,"The capital of Turkey is Ankara."
what is the capital of greece?,"The capital of Greece is Athens."
what is the capital of sweden?,"The capital of Sweden is Stockholm."
what is the capital of norway?,"The capital of Norway is Oslo."
what is the capital of finland?,"The capital of Finland is Helsinki."
what is the capital of iceland?,"The capital of Iceland is Reykjavík."
what is the capital of the netherlands?,"The capital of the Netherlands is Amsterdam."
what is the capital of belgium?,"The capital of Belgium is Brussels."
what is the capital of switzerland?,"The capital of Switzerland is Bern."
what is the capital of poland?,"The capital of Poland is Warsaw."
what is the capital of ukraine?,"The capital of Ukraine is Kyiv."
what is the capital of the united states?,"The capital of the United States is Washington, D.C."
what is the largest country in the world?,"Russia is the largest country in the world."
what is the smallest country in the world?,"Vatican City is the smallest country in the world."
what is the largest ocean on earth?,"The Pacific Ocean is the largest ocean on Earth."
what is the smallest ocean in the world?,"The Arctic Ocean is the smallest ocean in the world."
what is the largest continent on earth?,"Asia is the largest continent on Earth."
what is the smallest continent on earth?,"Australia is the smallest continent on Earth."
what is the longest river in the world?,"The Nile River is the longest river in the world."
what is the largest desert in the world?,"The Sahara Desert is the largest hot desert in the world."
what is the highest mountain in the world?,"Mount Everest is the highest mountain in the world."
what is the deepest ocean trench in the world?,"The Mariana Trench is the deepest ocean trench in the world."
what is the largest island in the world?,"Greenland is the largest island in the world."
where is the great barrier reef located?,"The Great Barrier Reef is located off the coast of Queensland, Australia."
what is the largest lake in the world?,"The Caspian Sea is the largest lake in the world."
what is the longest wall in the world?,"The Great Wall of China is the longest wall in the world."
what is the largest waterfall in the world?,"Angel Falls in Venezuela is the largest waterfall in the world."
what is the largest rainforest in the world?,"The Amazon Rainforest is the largest rainforest in the world."
what is the tallest building in the world?,"The Burj Khalifa in Dubai is the tallest building in the world."
